PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES,NAME SOURCE,ACCESSION,SEQUENCE TYPE,SEQUENCE SOURCE,BRAZILIAN MAMMAL,AMAZ,MATL,CERR,CAAT,PANT,PAMP,MARI
Chordata,Actinopteri,Perciformes,Platycephalidae,Ratabulus,Ratabulus megacephalus,GB,AP018420.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Perciformes,Triglidae,Pterygotrigla,Pterygotrigla ryukyuensis,GB,AP018421.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gadiformes,Lotidae,Molva,Molva dypterygia,GB,AP018423.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gadiformes,Moridae,Lepidion,Lepidion lepidion,GB,AP018424.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Neobythites,Neobythites stigmosus,GB,AP018427.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Labriformes,Labridae,Stethojulis,Stethojulis strigiventer,GB,AP018523.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Scombriformes,Amarsipidae,Amarsipus,Amarsipus carlsbergi,GB,AP018529.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Labriformes,Labridae,Cheilio,Cheilio inermis,GB,AP018552.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Kurtiformes,Apogonidae,Sphaeramia,Sphaeramia orbicularis,GB,AP018927.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Kurtiformes,Apogonidae,Pristicon,Pristicon trimaculatus,GB,AP018928.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Vanderhorstia,Vanderhorstia sp.,GB,AP019315.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Amblygobius,Amblygobius phalaena,GB,AP019316.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Callogobius,Callogobius okinawae,GB,AP019317.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Parioglossus,Parioglossus dotui,GB,AP019321.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Valenciennea,Valenciennea longipinnis,GB,AP019326.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Asterropteryx,Asterropteryx semipunctata,GB,AP019328.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Priolepis,Priolepis semidoliata,GB,AP019330.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Eviota,Eviota ocellifer,GB,AP019333.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Larsonella,Larsonella pumila,GB,AP019338.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Trimma,Trimma caesiura,GB,AP019344.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Gobiodon,Gobiodon micropus,GB,AP019346.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Anguilliformes,Ophichthidae,Pisodonophis,Pisodonophis boro,GB,AP019349.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Anguilliformes,Muraenidae,Echidna,Echidna rhodochilus,GB,AP019351.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Anguilliformes,Muraenidae,Uropterygius,Uropterygius concolor,GB,AP019352.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Eleotridae,Bostrychus,Bostrychus sinensis,GB,AP019355.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Periophthalmus,Periophthalmus modestus,GB,AP019358.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Myersina,Myersina macrostoma,GB,AP019360.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Mugilogobius,Mugilogobius sp.,GB,AP019361.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Trypauchenopsis,Trypauchenopsis sp.,GB,AP019362.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus tataupa,GB,AY016012.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Aves,Dinornithiformes,Dinornithidae,Dinornis,Dinornis giganteus,GB,AY016013.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,Arenaria interpres,GB,AY074885.2,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus ater,GB,AY074886.2,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Aves,Procellariiformes,Procellariidae,Aphrodroma,Aphrodroma brevirostris,GB,AY158678.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Anura,Dicroglossidae,Fejervarya,Fejervarya limnocharis,GB,AY158705.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Aves,Charadriiformes,Laridae,Larus,Larus dominicanus,GB,AY293619.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Aves,Anseriformes,Anseranatidae,Anseranas,Anseranas semipalmata,GB,AY309455.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Aves,Psittaciformes,Psittacidae,Strigops,Strigops habroptila,GB,AY309456.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Aves,Strigiformes,Strigidae,Ninox,Ninox novaeseelandiae,GB,AY309457.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Aves,Passeriformes,Acanthisittidae,Acanthisitta,Acanthisitta chloris,GB,AY325307.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Aves,Galliformes,Megapodiidae,Alectura,Alectura lathami,GB,AY346091.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Huso,Huso huso,GB,AY442351.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Gymnophiona,Indotyphlidae,Gegeneophis,Gegeneophis ramaswamii,GB,AY456250.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,Ichthyophis glutinosus,GB,AY456251.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Gymnophiona,Rhinatrematidae,Rhinatrema,Rhinatrema bivittatum,GB,AY456252.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Gymnophiona,Scolecomorphidae,Scolecomorphus,Scolecomorphus vittatus,GB,AY456253.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Uraeotyphlus,Uraeotyphlus oxyurus,GB,AY456254.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Anura,Bombinatoridae,Bombina,Bombina fortinuptialis,GB,AY458591.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla chinensis,GB,AY458593.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Anura,Microhylidae,Kaloula,Kaloula pulchra,GB,AY458595.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Caudata,Salamandridae,Paramesotriton,Paramesotriton hongkongensis,GB,AY458597.1,mitogenome,GB,other class,0,0,0,0,0,0,0
